time_to_zero,rf_area,condition,stimulus,.
0.4235,37797.6792,1M,mesopic,
0.2399,11773.45992,1M,mesopic,
0.2664,8117.994429,1M,mesopic,
0.3089,16730.87957,1M,mesopic,
0.3838,12781.73077,1M,mesopic,
0.3433,17413.47834,1M,mesopic,
0.3592,6505.548057,1M,mesopic,
0.3997,15859.59817,1M,mesopic,
0.23,8912.404777,1M,mesopic,
0.2824,6114.487232,1M,mesopic,
0.3115,5634.901116,1M,mesopic,
0.2717,10672.13122,1M,mesopic,
0.3394,25241.53609,1M,mesopic,
0.4275,17385.699,1M,mesopic,
0.3122,6600.984088,1M,mesopic,
0.5395,4792.881633,1M,mesopic,
0.1856,16670.81681,1M,mesopic,
0.3712,6584.456084,1M,mesopic,
0.4123,8319.292377,1M,mesopic,
0.4268,9259.704812,1M,mesopic,
0.281,13550.16003,1M,mesopic,
0.4812,11962.61806,1M,mesopic,
0.2983,17079.1957,1M,mesopic,
0.3241,18317.67673,1M,mesopic,
0.2313,18002.11609,1M,mesopic,
0.2631,13908.90226,1M,mesopic,
0.2817,11732.42428,1M,mesopic,
0.2161,15804.07517,1M,mesopic,
0.5574,6918.802982,1M,mesopic,
0.4109,13156.35464,1M,mesopic,
0.3281,29844.30523,1M,mesopic,
0.2903,18320.47936,1M,mesopic,
0.4454,5809.003589,1M,mesopic,
0.4732,5491.2816,1M,mesopic,
0.2976,21794.06611,1M,mesopic,
0.3533,18868.59053,1M,mesopic,
0.4335,12347.10275,1M,mesopic,
0.3751,10307.76159,1M,mesopic,
0.2936,23611.36115,1M,mesopic,
0.1969,3661.264014,1M,mesopic,
0.2797,11563.09589,1M,mesopic,
0.2843,24292.23888,1M,mesopic,
0.2751,6870.976869,1M,mesopic,
0.4792,6241.24311,1M,mesopic,
0.2075,24217.98405,1M,mesopic,
0.3155,8205.119004,1M,mesopic,
0.336,13878.14947,1M,mesopic,
0.3002,24734.41182,1M,mesopic,
0.4626,40778.03494,1M,mesopic,
0.4056,28298.60616,1M,mesopic,
0.4361,15092.64702,1M,mesopic,
0.4514,5327.77509,1M,mesopic,
0.4567,13976.79479,1M,mesopic,
0.162386081,6617.315526,1M,mesopic,
0.2161,18175.87375,1M,mesopic,
0.4361,11314.74312,1M,mesopic,
0.5256,4834.553649,1M,mesopic,
0.2724,16077.61762,1M,mesopic,
0.3519,8453.31645,1M,mesopic,
0.2737,4846.039986,1M,mesopic,
0.3128,16860.88901,1M,mesopic,
0.338,7717.541956,1M,mesopic,
0.2804,5296.088234,1M,mesopic,
0.4838,18603.37484,1M,mesopic,
0.4328,5339.679902,1M,mesopic,
0.4222,22190.86125,1M,mesopic,
0.774813587,18765.01558,1M,mesopic,
0.2751,6022.88608,1M,mesopic,
0.2751,4923.320457,1M,mesopic,
0.2963,14702.8237,1M,mesopic,
0.3069,11821.19468,1M,mesopic,
0.1929,6870.98015,1M,mesopic,
0.2857,12885.34616,1M,mesopic,
0.2545,7411.932294,1M,mesopic,
0.665451533,4599.299212,1M,mesopic,
0.3553,14182.50578,1M,mesopic,
0.684672742,6974.495034,1M,mesopic,
0.3208,34274.00057,1M,mesopic,
0.23,10046.56759,1M,mesopic,
0.2472,7384.991366,1M,mesopic,
0.4063,13228.84475,1M,mesopic,
0.4421,21039.10889,1M,mesopic,
0.3493,6159.770251,1M,mesopic,
0.3546,7524.749189,1M,mesopic,
0.3075,14518.04452,1M,mesopic,
0.3732,15094.05034,1M,mesopic,
0.4653,8383.975187,1M,mesopic,
0.348,9680.513466,1M,mesopic,
0.2983,17722.57249,1M,mesopic,
0.2717,6084.906032,1M,mesopic,
0.3374,20641.69127,1M,mesopic,
0.2857,6242.648243,1M,mesopic,
0.3122,6757.170841,1M,mesopic,
0.3944,8188.94443,1M,mesopic,
0.3698,9656.06639,1M,mesopic,
0.342,15174.22559,1M,mesopic,
0.3983,13124.01024,1M,mesopic,
0.2744,8325.075884,1M,mesopic,
0.462,7497.295199,1M,mesopic,
0.3765,5274.1877,1M,mesopic,
0.4103,8077.510955,1M,mesopic,
0.3387,17399.64649,1M,mesopic,
0.3354,5577.389633,1M,mesopic,
0.2764,8766.490484,1M,mesopic,
0.2618,20635.00566,1M,mesopic,
0.4772,7420.325029,1M,mesopic,
