spkr,age,lightlevel,contrast,.
1.030780432,0,mesopic,2,
1.242826512,0,mesopic,2,
1.34763799,0,mesopic,2,
1.253338349,0,mesopic,2,
1.272758419,0,mesopic,2,
1.338698664,0,mesopic,2,
1.174351853,0,mesopic,2,
1.218231029,0,mesopic,2,
1.148354331,0,mesopic,2,
1.179479936,0,mesopic,2,
1.140026214,0,mesopic,2,
1.47465292,0,mesopic,2,
1.089495767,0,mesopic,2,
1.21720078,0,mesopic,2,
1.140334894,0,mesopic,2,
1.142636471,0,mesopic,2,
1.383273726,0,mesopic,2,
1.113635931,0,mesopic,2,
1.183705745,0,mesopic,2,
1.268022688,0,mesopic,2,
1.140775283,0,mesopic,2,
1.329381954,0,mesopic,2,
1.196001774,0,mesopic,2,
1.237251451,0,mesopic,2,
1.116893232,0,mesopic,2,
1.212601072,0,mesopic,2,
1.154221628,0,mesopic,2,
1.197656074,0,mesopic,2,
1.236788949,0,mesopic,2,
1.547402221,0,mesopic,2,
1.367605259,0,mesopic,2,
1.166361296,0,mesopic,2,
1.201877317,0,mesopic,2,
1.165382804,0,mesopic,2,
1.082680167,0,mesopic,2,
1.347086137,0,mesopic,2,
1.395221097,0,mesopic,2,
1.112962844,0,mesopic,2,
1.32675619,0,mesopic,2,
1.177768064,0,mesopic,2,
1.410802519,0,mesopic,2,
1.290940703,0,mesopic,2,
1.165255291,0,mesopic,2,
1.251012405,0,mesopic,2,
1.338412521,0,mesopic,2,
1.276079479,0,mesopic,2,
1.249429736,0,mesopic,2,
1.088335995,0,mesopic,2,
1.343877281,0,mesopic,2,
1.294131905,0,mesopic,2,
1.361630481,0,mesopic,2,
1.156318587,0,mesopic,2,
1.179942491,0,mesopic,2,
1.22999159,0,mesopic,2,
1.265558798,0,mesopic,2,
1.32297935,0,mesopic,2,
1.331043385,0,mesopic,2,
1.069022408,0,mesopic,2,
1.046108385,0,mesopic,2,
1.519715229,0,mesopic,2,
1.269907628,0,mesopic,2,
1.169189547,0,mesopic,2,
1.406068534,0,mesopic,2,
1.007914227,0,mesopic,2,
1.423681987,0,mesopic,2,
1.309300205,0,mesopic,2,
1.486483718,0,mesopic,2,
1.353688094,0,mesopic,2,
1.413352904,0,mesopic,2,
1.346024626,0,mesopic,2,
1.393601027,0,mesopic,2,
1.378488937,0,mesopic,2,
