time_to_zero,rf_area,condition,stimulus
0.1962,9293.68402691391,1M,photopic
0.1488,8414.08995954671,1M,photopic
0.2227,14027.874919112,1M,photopic
0.2671,11369.3017981913,1M,photopic
0.2466,5381.16102031045,1M,photopic
0.1607,6081.0849678982,1M,photopic
0.2409,6076.10407328455,1M,photopic
0.2088,13960.2177571856,1M,photopic
0.2085,5557.66447687519,1M,photopic
0.2197,61562.8218773872,1M,photopic
0.2297,3724.31903808908,1M,photopic
0.2346,1907.06240223837,1M,photopic
0.237,6802.01837294624,1M,photopic
0.1978,4792.42662079541,1M,photopic
0.1445,18895.6299141444,1M,photopic
0.1577,1731.81538591985,1M,photopic
0.1528,7966.05928159401,1M,photopic
0.1717,7889.51286303987,1M,photopic
0.2277,8198.30897928394,1M,photopic
