spikerate,info,index,genotype,months,.
30.22222222,39.79324223,226,Degenerative,4,
30.44444444,32.97515727,234,Degenerative,4,
31.55555556,42.11961836,237,Degenerative,4,
34,46.81234081,254,Degenerative,4,
28.44444444,36.96688437,260,Degenerative,4,
31,27.99408884,274,Degenerative,4,
36.88888889,35.69966694,36,Degenerative,4,
15.66666667,21.51108699,60,Degenerative,4,
35.11111111,30.33670647,79,Degenerative,4,
27.33333333,35.62443457,90,Degenerative,4,
22.11111111,30.44274113,94,Degenerative,4,
15.66666667,25.10298137,124,Degenerative,4,
20.55555556,30.67822258,180,Degenerative,4,
21.33333333,25.26063928,210,Degenerative,4,
27.77777778,29.12358182,219,Degenerative,4,
19.55555556,23.89347862,225,Degenerative,4,
35.44444444,31.02597507,228,Degenerative,4,
27.11111111,35.62078719,247,Degenerative,4,
25.33333333,29.93090258,256,Degenerative,4,
31.11111111,26.69073977,260,Degenerative,4,
15.77777778,21.64762763,297,Degenerative,4,
4.333333333,7.136355942,6,Degenerative,4,
6.555555556,5.049820376,10,Degenerative,4,
3.444444444,6.233969564,37,Degenerative,4,
30.44444444,6.039796169,61,Degenerative,4,
3.111111111,5.324157373,63,Degenerative,4,
5.444444444,4.800302777,75,Degenerative,4,
15.77777778,5.464333348,130,Degenerative,4,
11,5.583313042,182,Degenerative,4,
4.444444444,6.961349632,195,Degenerative,4,
3.111111111,5.605095957,209,Degenerative,4,
3.888888889,6.43327213,214,Degenerative,4,
6.555555556,7.174595109,2,Degenerative,4,
16.88888889,6.64924334,19,Degenerative,4,
10.55555556,6.304771434,45,Degenerative,4,
27.22222222,5.860213286,53,Degenerative,4,
9.777777778,5.940355953,85,Degenerative,4,
5,6.061676726,116,Degenerative,4,
15.22222222,6.41521415,158,Degenerative,4,
6.333333333,6.929962981,165,Degenerative,4,
4.888888889,5.845398753,178,Degenerative,4,
5.666666667,6.209564566,186,Degenerative,4,
20.11111111,16.48516971,155,Degenerative,5,
12.77777778,15.51557765,168,Degenerative,5,
3.111111111,7.634473089,174,Degenerative,5,
16.33333333,9.548430526,176,Degenerative,5,
9,18.850173,181,Degenerative,5,
8.222222222,16.11964249,191,Degenerative,5,
5.777777778,12.96273059,195,Degenerative,5,
48.77777778,30.09875429,205,Degenerative,5,
9.888888889,12.01182038,268,Degenerative,5,
4,7.258313552,280,Degenerative,5,
4.111111111,8.089921718,291,Degenerative,5,
10.44444444,19.18083968,293,Degenerative,5,
27.11111111,23.20734256,300,Degenerative,5,
20.66666667,31.50659149,302,Degenerative,5,
4,10.82913899,308,Degenerative,5,
3.666666667,10.97730987,310,Degenerative,5,
4.333333333,9.664745062,319,Degenerative,5,
17.77777778,27.54756928,323,Degenerative,5,
4.222222222,6.121226191,136,Degenerative,5,
3.333333333,7.630851786,149,Degenerative,5,
3.444444444,8.307340841,158,Degenerative,5,
7.222222222,15.05751629,161,Degenerative,5,
3.555555556,9.50676082,171,Degenerative,5,
4.222222222,9.289528478,201,Degenerative,5,
21.55555556,28.58244153,256,Degenerative,5,
12.11111111,10.99887924,259,Degenerative,5,
5.555555556,8.495013595,268,Degenerative,5,
2.888888889,6.43771183,270,Degenerative,5,
10.55555556,20.45987529,281,Degenerative,5,
27.44444444,17.61418128,289,Degenerative,5,
4.111111111,10.99886866,291,Degenerative,5,
6.111111111,10.31978961,298,Degenerative,5,
3,7.898816436,302,Degenerative,5,
2.888888889,6.948535254,315,Degenerative,5,
